primary_link,Primær veje
prison,Fængsel
pub,Bar
pub,Pub
public,Offentlig bygning
public_building,Offentlig bygning
public_market,Offentligt marked
quarry,Stenbrud
raceway,Vædeløbsbane
railway,Jernbane
rapids,Strømfald
reception_area,Receptionsområde
recreation_ground,Rekreativt område
recycling,Genbrugsstation
reef,Rev
region,Region
reservoir,Reservoir
residential,Boligområde
residential,Boligområde
residential,Beboelsesejendom
residential,Villavej
rest_area,Rasteplads
rest_area,Rasteplads
restaurant,Fødevarer
restaurant,Restaurant
retail,Butiksområde
retail,Butiksbygning
retirement_home,Alderdomshjem
ridge,Højderyg
river,Flod
riverbank,Flodbred
road,Vej
rock,Klippe
ruins,Ruin
salon,Salon
sauna,Sauna
school,Skole
school,Skolebygning
scree,Urer
scrub,Krat
sea,Hav
secondary,Bivej
secondary_link,Bivej
service,Servicevej
services,Motorvejsrasteplads
services,Motorvejsrasteplads
shelter,Shelter
shoal,Sandbanke
shoes,Skobutik
shop,Butik
shopping,Butik
shopping_centre,Butikscenter
shopping_centre,Butikscentre
slipway,Slæbested
social_club,Social klub
sports,Sportsforretning
sports_centre,Sportscenter
spring,Kilde
spur,Jernbanespor
stadium,Stadium
state,Stat
station,Banegård
station,Station
stationery,Papirvareforretning
steps,Trappe
stile,Stente
store,Butik
strait,Strædet
stream,Bæk
studio,Studio
subdivision,Inddeling
suburb,Forstad
subway,Metrostation
subway_entrance,Metro indgang
supermarket,Supermarked
swimming_pool,Svømmepøl
switch,5375
taxi,Taxi
taxi,Taxaholdeplads
telephone,Telefonboks
telephone,Offentlige telefon
telephone,Telefon
terrace,Terrasse
tertiary,Tertiær vej
theatre,Teater
theme_park,Forlystelsespark
toilets,Toilet
tower,Tårn
town,By
townhall,Rådhus
toys,Legetøjsbutik
track,Løbebane
track,Markvej
trail,Spor
train_station,Banegård
train_station,Banegård
tram,Sporvogn
tram_stop,Sporvognsstoppestedet
travel_agency,Rejsebureau
tree,Træ
trunk,Motortrafikvej
trunk_link,Motortrafikvej tilkørsel
unclassified,Landevej
unincorporated_area,Personligt område
university,Universitet
university,Universitetetsbygning
unsurfaced,Ikke asfalterede vej
valley,Dal
vending_machine,Automat
veterinary,Dyrlæge
video,Videobutik
viewpoint,Udsigtspunkt
village,Landsby
village_green,Brønt område
village_hall,Forsamlingshus
vineyard,Vingård
volcano,Vulkan
wadi,Udtørret flodleje
waste_basket,Affaldskurv
waste_basket,Affaldsspand
waste_basket,Skraldespand
water,Vand
water_park,Vandland
water_point,Vendeplads
waterfall,Vandfald
wayside_cross,Vejside kors
wayside_shrine,Vejkants alter
weir,Stemmeværk
wetland,Vådområde
wetlands,Vådområder
wifi,WiFi
wifi,WiFi Adgang
wifi,WiFi Punkt
windmill,Vindmølle
wine,Vinhandel
wood,Naturlig skov
wreck,Vrag
yard,Rangerterræn
yes,Bygning
youth_centre,Ungdomcenter
youth_centre,Ungdomscenter
zoo,Zoologisk have
