
aerodrome,Aeroporto
photo,Magazin de photographia
salon,Salon
shoes,Scarperia
shopping_centre,Centro commercial
sports,Magazin de sport
stationery,Papireria
supermarket,Supermercato
toys,Magazin de joculos
travel_agency,Agentia de viages
video,Magazin de video
wine,Magazin de vinos
alpine_hut,Cabana alpin
artwork,Obra de arte
attraction,Attraction
bed_and_breakfast,Bed and Breakfast
cabin,Cabana
camp_site,Terreno de camping
caravan_site,Terreno pro caravanas
chalet,Chalet
guest_house,Albergo
hostel,Albergo
hotel,Hotel
information,Information
lean_to,Barraca aperte
motel,Motel
museum,Museo
picnic_site,Loco de picnic
theme_park,Parco de attractiones
valley,Valle
viewpoint,Puncto de vista
zoo,Jardin zoologic
boatyard,Cantier naval
canal,Canal
connector,Connexion aquatic
dam,Dica
derelict_canal,Canal abandonate
ditch,Fossato
dock,Dock
drain,Aquiero
lock,Esclusa
lock_gate,Porta de esclusa
mineral_spring,Fonte de aqua mineral
mooring,Ammarrage
rapids,Rapidos
river,Fluvio/Riviera
riverbank,Ripa de fluvio/riviera
stream,Rivo
wadi,Wadi
water_point,Puncto de aqua
waterfall,Cascada
weir,Barrage
