
valley,Laakso
viewpoint,Näköalapaikka
viewpoint,Näköalapaikat
zoo,Eläintarha
canal,Kanaali
dam,Pato
ditch,Oja
dock,Telakka
dock,Märkätelakka
drain,Oja
lock_gate,Sulku
rapids,Koski
river,Joki
riverbank,Joki
stream,Puro
weir,Pohjapato
