
construction,Spoor in aanbouw
disused,Ongebruikte spoorweg
disused_station,Ongebruikt spoorwegstation
funicular,Kabelspoorweg
halt,Treinhalte
historic_station,Historisch spoorwegstation
junction,Spoorwegkruising
level_crossing,Gelijkvloerse kruising
light_rail,Lightrail
monorail,Monorail
narrow_gauge,Smalspoor
platform,Spoorwegplatform
preserved,Historisch spoor
spur,Parallelspoorweg
station,Spoorwegstation
subway,Metrostation
subway_entrance,Metroingang
switch,Spoogwegpunten
tram,Tramrails
tram_stop,Tramhalte
yard,Rangeerterrein
alcohol,Slijterij
apparel,Kledingwinkel
art,Kunstwinkel
bakery,Bakkerij
beauty,Schoonheidssalon
beverages,Frisdrankverkooppunt
bicycle,Fietsenwinkel
books,Boekenwinkel
butcher,Slagerij
car,Automaterialenwinkel
car_dealer,Autodealer
car_parts,Autoonderdelen
car_repair,Autogarage
carpet,Tapijtzaak
charity,Liefdadigheidswinkel
chemist,Apotheek
clothes,Kledingwinkel
computer,Computerwinkel
confectionery,Snoepverkooppunt
convenience,Gemakswinkel
copyshop,Copyshop
cosmetics,Cosmeticawinkel
department_store,Warenhuis
discount,Discountwinkel
doityourself,Doe-het-zelf-winkel
drugstore,Drogisterij
dry_cleaning,Stomerij
electronics,Elektronicawinkel
estate_agent,Makelaar
farm,Boerenwinkel
fashion,Kledingwinkel
fish,Viswinkel
florist,Bloemist
food,Etenswarenwinkel
funeral_directors,Uitvaartcentrum
furniture,Meubelzaak
gallery,Galerie
garden_centre,Tuincentrum
general,Algemene winkel
gift,Cadeauwinkel
greengrocer,Groenteboer
grocery,Kruidenierswinkel
hairdresser,Kapper
hardware,Gereedschappenwinkel
hifi,Hi-fi
insurance,Verzekeringen
jewelry,Juwelier
kiosk,Kioskwinkel
laundry,Wasserij
mall,Overdekt winkelcentrum
market,Markt
mobile_phone,Mobiele telefoons
motorcycle,Motorfietsenwinkel
music,Muziekwinkel
newsagent,Straatkiosk
optician,Opticien
organic,Organische winkel
outdoor,Buitensportwinkel
pet,Dierenwinkel
photo,Fotowinkel
salon,Schoonheidssalon
shoes,Schoenenzaak
shopping_centre,Winkelcentrum
sports,Sportwinkel
stationery,Kantoorartikelenwinkel
supermarket,Supermarkt
toys,Speelgoedwinkel
travel_agency,Reisbureau
video,Videotheek
wine,Slijterij
alpine_hut,Berghut
artwork,Kunst
attraction,Attractie
bed_and_breakfast,Pension
cabin,Hut
camp_site,Kampeerterrein
caravan_site,Caravankampeerterrein
chalet,Vakantiehuisje
guest_house,Gastenverblijf
hostel,Jeugdherberg
hotel,Hotel
information,Informatie
lean_to,Open schutplaats
motel,Motel
museum,Museum
picnic_site,Picknickplaats
theme_park,Pretpark
valley,Vallei
viewpoint,Bijzonder uitzicht
zoo,Dierentuin
boatyard,Scheepswerf
canal,Kanaal
connector,Waterverbinding
dam,Dam
derelict_canal,Onbeheerd kanaal
ditch,Sloot
dock,Dock
drain,Afvoerkanaal
lock,Schutsluis
lock_gate,Sluisdeur
mineral_spring,Bron
mooring,Aanlegplaats
rapids,Stroomversnelling
river,Rivier
riverbank,Rivierbedding
stream,Stroom
wadi,Beek
water_point,Waterpunt
waterfall,Waterval
weir,Stuwdam
