
disused_station,Željeznička stanica (nije u upotrebi)
funicular,Uspinjača
halt,Željeznička stanica
historic_station,Povijesna željeznička stanica
junction,Željeznički čvor
level_crossing,Pružni prijelaz
light_rail,Laka željeznica
monorail,Jednotračna pruga
narrow_gauge,Uskotračna pruga
platform,Željeznička platforma
preserved,Sačuvana pruga
spur,Pruga
station,Željeznički kolodvor
subway,Podzemna - stanica
subway_entrance,Podzemna - ulaz
switch,Skretnica
tram,Tramvaj
tram_stop,Tramvajska stanica
yard,Ranžirni kolodvor
alcohol,Trgovina pićem
apparel,Trgovina odjećom
art,Atelje
bakery,Pekara
beauty,Parfumerija
beverages,Trgovina pićem
bicycle,Trgovina biciklima
books,Knjižara
butcher,Mesnica
car,Autokuća
car_dealer,Autokuća
car_parts,Autodijelovi
car_repair,Autoservis
carpet,Trgovina tepisima
charity,Dobrotvorna trgovina
chemist,Ljekarna
clothes,Butik
computer,Computer Shop
confectionery,Delikatesa
convenience,Minimarket
copyshop,Kopiraona
cosmetics,Parfumerija
department_store,Robna kuća
discount,Diskont
doityourself,Uradi sam
drugstore,Drogerija
dry_cleaning,Kemijska čistionica
electronics,Trgovina elektronikom
estate_agent,Agencija za nekretnine
farm,Poljo-apoteka
fashion,Modna trgovina
fish,Ribarnica
florist,Cvjećarnica
food,Trgovina prehranom
funeral_directors,Pogrebno poduzeće
furniture,Namještaj
furniture,Namještajs
gallery,Galerija
garden_centre,Vrtni centar
general,Trgovina mješovitom robom
gift,Poklon trgovina
greengrocer,Voćarna
grocery,Trgovina prehranom
hairdresser,Frizer
hardware,Željezar
hifi,Hi-Fi
insurance,Osiguranje
jewelry,Zlatarna
kiosk,Kiosk
laundry,Praonica rublja
mall,Trgovački centar
market,Tržnica
mobile_phone,Trgovina mobitelima
motorcycle,Moto Shop
music,Trgovina glazbom
newsagent,Novinar
newsagent,Novinars
optician,Optičar
organic,Trgovina zdrave hrane
outdoor,Trgovina za slobodno vrijeme
pet,Trgovina za kućne ljubimce
photo,Fotograf
salon,Salon
shoes,Trgovina obućom
